type>question>options>tone>answer
MULTI-SELECT>What algorithms are you familiar with?>Sorting algorithms; Searching algorithms; Graph algorithms; Dynamic programming; Greedy algorithms; Divide and conquer>verbose>Graph algorithms.
MULTI-SELECT>What algorithms are you familiar with?>Sorting algorithms; Searching algorithms; Graph algorithms; Dynamic programming; Greedy algorithms; Divide and conquer>concise>Graph algorithms.
MULTI-SELECT>What algorithms are you familiar with?>Sorting algorithms; Searching algorithms; Graph algorithms; Dynamic programming; Greedy algorithms; Divide and conquer>colloquial>I am familiar with Graph algorithms.
MULTI-SELECT>What algorithms are you familiar with?>Sorting algorithms; Searching algorithms; Graph algorithms; Dynamic programming; Greedy algorithms; Divide and conquer>explanatory>Graph algorithms.
MULTI-SELECT>What algorithms are you familiar with?>Sorting algorithms; Searching algorithms; Graph algorithms; Dynamic programming; Greedy algorithms; Divide and conquer>annoyed>Graph algorithms.
MULTI-SELECT>What are some of the key challenges facing your business?>Competition; Economic conditions; Technology changes; Regulations; Finding and retaining talent>verbose>Competition is one of the key challenges facing your business.
MULTI-SELECT>What are your main sources of raw materials?>Domestic suppliers; International suppliers; Recycled materials; Mining operations; Agriculture>concise>Domestic suppliers.
MULTI-SELECT>What are your main sources of raw materials?>Domestic suppliers; International suppliers; Recycled materials; Mining operations; Agriculture>colloquial>Domestic suppliers are the main source of raw materials. Recycled materials are the main source of raw materials.
MULTI-SELECT>What are your main sources of raw materials?>Domestic suppliers; International suppliers; Recycled materials; Mining operations; Agriculture>explanatory>Domestic suppliers are your main sources of raw materials.
MULTI-SELECT>What are your main sources of raw materials?>Domestic suppliers; International suppliers; Recycled materials; Mining operations; Agriculture>annoyed>Domestic suppliers are the main sources of raw materials.
MULTI-SELECT>What are your main transportation methods?>Trucks; Rail; Ships; Pipelines; Air>verbose>Trucks are the main transportation methods.
MULTI-SELECT>What are your main transportation methods?>Trucks; Rail; Ships; Pipelines; Air>concise>Trucks are the main transportation methods.
MULTI-SELECT>What are your main transportation methods?>Trucks; Rail; Ships; Pipelines; Air>colloquial>Trucks are the main transportation methods. Ships are the main transportation methods. Pipelines are the main transportation methods.
MULTI-SELECT>What are your main transportation methods?>Trucks; Rail; Ships; Pipelines; Air>explanatory>Trucks are the main transportation methods.
MULTI-SELECT>What are your main transportation methods?>Trucks; Rail; Ships; Pipelines; Air>annoyed>Trucks are the main transportation methods. Ships are the main transportation methods. Pipelines are the main transportation methods.
MULTI-SELECT>What are your preferred code editors or IDEs?>VS Code; IntelliJ IDEA; Eclipse; Sublime Text; Atom>verbose>VS Code is my preferred code editor.
MULTI-SELECT>What are your preferred code editors or IDEs?>VS Code; IntelliJ IDEA; Eclipse; Sublime Text; Atom>concise>VS Code is my preferred code editor.
MULTI-SELECT>What are your preferred code editors or IDEs?>VS Code; IntelliJ IDEA; Eclipse; Sublime Text; Atom>colloquial>VS Code is my preferred code editor.
MULTI-SELECT>What are your preferred code editors or IDEs?>VS Code; IntelliJ IDEA; Eclipse; Sublime Text; Atom>explanatory>VS Code is my preferred code editor.
MULTI-SELECT>What are your preferred code editors or IDEs?>VS Code; IntelliJ IDEA; Eclipse; Sublime Text; Atom>annoyed>VS Code.
MULTI-SELECT>What are your preferred collaboration tools?>Slack; Microsoft Teams; Google Chat; Discord>verbose>Microsoft Teams is my preferred collaboration tool.
MULTI-SELECT>What are your preferred collaboration tools?>Slack; Microsoft Teams; Google Chat; Discord>concise>Microsoft Teams is my preferred collaboration tool.
MULTI-SELECT>What are your preferred collaboration tools?>Slack; Microsoft Teams; Google Chat; Discord>colloquial>Microsoft Teams is my preferred collaboration tool.
MULTI-SELECT>What are your preferred collaboration tools?>Slack; Microsoft Teams; Google Chat; Discord>explanatory>Microsoft Teams is my preferred collaboration tool.
MULTI-SELECT>What are your preferred collaboration tools?>Slack; Microsoft Teams; Google Chat; Discord>annoyed>Microsoft Teams is my preferred collaboration tool.
MULTI-SELECT>What are your preferred communication styles?>Direct and concise; Detailed and thorough; Collaborative and interactive; Formal and professional; Informal and friendly>verbose>Direct and concise is my preferred communication style.
MULTI-SELECT>What are your preferred communication styles?>Direct and concise; Detailed and thorough; Collaborative and interactive; Formal and professional; Informal and friendly>concise>Informal and friendly.
MULTI-SELECT>What are your preferred communication styles?>Direct and concise; Detailed and thorough; Collaborative and interactive; Formal and professional; Informal and friendly>colloquial>Informal and friendly.
MULTI-SELECT>What are your preferred communication styles?>Direct and concise; Detailed and thorough; Collaborative and interactive; Formal and professional; Informal and friendly>explanatory>Informal and friendly.
MULTI-SELECT>What are your preferred communication styles?>Direct and concise; Detailed and thorough; Collaborative and interactive; Formal and professional; Informal and friendly>annoyed>Detailed and thorough is my preferred communication style.
MULTI-SELECT>What are your preferred design tools?>Figma; Adobe XD; Sketch; InVision; Adobe Photoshop; Adobe Illustrator>verbose>Adobe Illustrator is my preferred design tool.
MULTI-SELECT>What are your preferred design tools?>Figma; Adobe XD; Sketch; InVision; Adobe Photoshop; Adobe Illustrator>concise>Adobe Illustrator is my preferred design tool.
MULTI-SELECT>What are your preferred design tools?>Figma; Adobe XD; Sketch; InVision; Adobe Photoshop; Adobe Illustrator>colloquial>Adobe Illustrator is my preferred design tool.
MULTI-SELECT>What are your preferred design tools?>Figma; Adobe XD; Sketch; InVision; Adobe Photoshop; Adobe Illustrator>explanatory>Adobe Illustrator.
MULTI-SELECT>What are your preferred design tools?>Figma; Adobe XD; Sketch; InVision; Adobe Photoshop; Adobe Illustrator>annoyed>Adobe Illustrator is my preferred design tool.
MULTI-SELECT>What are your preferred learning resources?>Online courses; Books; Conferences; Workshops; Mentorship; Self-study>verbose>Online courses are my preferred learning resources.
MULTI-SELECT>What are your preferred learning resources?>Online courses; Books; Conferences; Workshops; Mentorship; Self-study>concise>Online courses are my preferred learning resources.
MULTI-SELECT>What are your preferred learning resources?>Online courses; Books; Conferences; Workshops; Mentorship; Self-study>colloquial>Online courses are my preferred learning resources.
MULTI-SELECT>What are your preferred learning resources?>Online courses; Books; Conferences; Workshops; Mentorship; Self-study>explanatory>Online courses are my preferred learning resources.
MULTI-SELECT>What are your preferred learning resources?>Online courses; Books; Conferences; Workshops; Mentorship; Self-study>annoyed>Online courses are my preferred learning resources.
MULTI-SELECT>What are your preferred methods for code optimization?>Profiling; Algorithmic improvements; Data structure optimization; Code refactoring>verbose>I prefer code refactoring.
MULTI-SELECT>What are your preferred methods for code optimization?>Profiling; Algorithmic improvements; Data structure optimization; Code refactoring>concise>Algorithmic improvements are my preferred methods for code optimization.
MULTI-SELECT>What are your preferred methods for code optimization?>Profiling; Algorithmic improvements; Data structure optimization; Code refactoring>colloquial>I prefer code refactoring over profiling.
MULTI-SELECT>What are your preferred methods for code optimization?>Profiling; Algorithmic improvements; Data structure optimization; Code refactoring>explanatory>Algorithmic improvements are my preferred methods for code optimization.
